Topic,index,response_length
breaking out of hyper-focus,172.0,18.8
taking care of an old pet with medical issues,107.0,17.2
how to establish and maintain boundaries,77.0,16.6
applying to university,182.0,14.6
pain from being LGBT and having to hide it,57.0,14.2
suicide,7.0,14.0
postpartum depression,67.0,13.6
stress from a medical quarantine,132.0,12.8
feeling like life is just a series of monotonous tasks,137.0,12.6
drifting through life without a purpose,142.0,12.6
having an angry spouse,202.0,12.2
sifting through old hurts,102.0,12.0
struggling with anxiety,27.0,11.6
navigating office politics,187.0,11.4
"the user is sad and becomes suicidal but the counsellor gently encourages them to call a friend, a family member, or emergency services",47.0,11.4
how to raise emotionally healthy children,92.0,11.4
recovering from serious injuries,197.0,11.2
how to have difficult conversations with spouse,72.0,11.2
learning to take care of oneself better,82.0,11.0
about a friend dying suddenly,12.0,11.0
coping with depression,32.0,10.8
being a workaholic,177.0,10.6
learning to eat better,87.0,10.4
grieving a death,127.0,10.2
family violence,2.0,10.2
anger control issues,37.0,9.6
caring for a senior with dementia,117.0,9.6
road rage,42.0,9.2
difficult family members,22.0,8.8
childhood trauma,192.0,8.4
taking care of a special needs child,112.0,8.4
loneliness from being a foreigner in a new country,52.0,8.2
"user wants to know how David works, she says they're an AI programmed in compassionate listening",207.0,8.2
being a lonely retiree,122.0,7.8
questioning gender and sexuality,62.0,7.6
identifying and investigating complex emotions,97.0,7.4
asking for medical advice but the counsellor recommends they call a doctor,157.0,7.0
loneliness from being single,17.0,6.6
trying to break an addiction,152.0,6.6
bored and looking for something to do,147.0,4.2
asking for financial advice but Human says they should talk to an accountant,162.0,3.6
asking for legal advice but Human says they need to call a lawyer,167.0,2.0
