severity,brothers,sisters,alone,topic
mild,no,no,lives,family violence
severe,one,one,doesn't live,suicide
,,,,struggling with anxiety
,,,,coping with depression
,,,,childhood trauma
,,,,anger control issues
,,,,road rage
,,,,loneliness from being a foreigner in a new country
,,,,pain from being LGBT and having to hide it
,,,,questioning gender and sexuality
,,,,postpartum depression
,,,,how to have difficult conversations with spouse
,,,,how to establish and maintain boundaries
,,,,learning to take care of oneself better
,,,,learning to eat better
,,,,how to raise emotionally healthy children
,,,,identifying and investigating complex emotions
,,,,sifting through old hurts
,,,,taking care of an old pet with medical issues
,,,,taking care of a special needs child
,,,,caring for a senior with dementia
,,,,being a lonely retiree
,,,,grieving a death
,,,,stress from a medical quarantine
,,,,feeling like life is just a series of monotonous tasks
,,,,drifting through life without a purpose
,,,,bored and looking for something to do
,,,,trying to break an addiction
,,,,asking for medical advice but the counsellor recommends they call a doctor
,,,,asking for financial advice but Human says they should talk to an accountant
,,,,asking for legal advice but Human says they need to call a lawyer
,,,,breaking out of hyper-focus
,,,,being a workaholic
,,,,applying to university
,,,,navigating office politics
,,,,recovering from serious injuries
,,,,having an angry spouse
extreme,two,two,,about a friend dying suddenly
crippling,three,three,,loneliness from being single
,four,four,,difficult family members
